Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,99.0,3400.0,75.0
1,98.0,3400.0,68.0
2,100.0,3400.034,73.0
3,62.0,3400.033,67.0
4,11.0,3387.725,76.0
5,7.0,3400.616,
6,24.2,3400.0,
7,62.6,3400.033,
