Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3500.0,74.0
1,100.0,3500.0,74.0
2,5.1,3500.0,74.0
3,47.0,3500.0,67.0
4,23.0,3500.0,74.0
5,7.1,3500.0,
6,100.0,3500.0,
7,91.0,3500.0,
