Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,62.0,3400.034,74.0
1,88.9,3400.0,70.0
2,65.3,3384.684,73.0
3,54.5,3400.068,67.0
4,54.0,3400.0,71.0
5,30.3,3396.999,
6,52.5,3400.272,
7,45.5,3400.0,
