Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,97.0,3399.965,72.0
1,100.0,3400.0,71.0
2,13.0,3400.0,72.0
3,100.0,3399.965,67.0
4,35.0,3400.0,71.0
5,11.2,3400.0,
6,100.0,3400.0,
7,17.2,3400.0,
