Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,21.6,3500.0,74.0
1,100.0,3499.964,70.0
2,90.2,3500.0,74.0
3,92.1,3500.0,69.0
4,99.0,3499.964,74.0
5,8.9,3490.463,
6,35.6,3499.263,
7,10.0,3500.05,
