Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,59.0,3500.053,74.0
1,90.0,3500.0,71.0
2,84.8,3500.0,74.0
3,83.0,3500.0,67.0
4,76.2,3500.0,74.0
5,29.3,3500.0,
6,49.0,3500.0,
7,25.3,3499.895,
