Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,76.8,3600.0,76.0
1,99.0,3599.963,71.0
2,100.0,3600.0,76.0
3,92.0,3599.963,72.0
4,49.5,3599.912,76.0
5,39.0,3593.233,
6,7.1,3600.0,
7,19.0,3599.957,
