Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,55.0,3600.0,82.0
1,59.6,3600.108,74.0
2,97.0,3599.963,81.0
3,71.0,3600.0,72.0
4,47.5,3599.963,80.0
5,67.3,3600.0,
6,21.8,3600.0,
7,55.0,3600.036,
