Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,7.1,3600.649,76.0
1,74.7,3600.0,71.0
2,54.0,3599.598,76.0
3,100.0,3600.0,69.0
4,100.0,3600.0,76.0
5,70.3,3600.0,
6,52.5,3600.0,
7,14.7,3600.0,
