Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,79.8,4000.0,76.0
1,44.0,4000.04,75.0
2,67.3,4000.0,76.0
3,97.0,4000.0,68.0
4,28.3,3999.959,75.0
5,91.9,4001.633,
6,70.0,4004.115,
7,14.1,4000.0,
