Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,16.0,3400.0,72.0
1,57.6,3400.0,70.0
2,100.0,3400.0,72.0
3,94.0,3399.965,67.0
4,100.0,3400.0,65.0
5,52.5,3400.0,
6,8.0,3400.0,
7,38.4,3400.0,
