Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,91.1,3600.0,77.0
1,100.0,3600.0,74.0
2,92.0,3600.036,77.0
3,97.0,3600.0,70.0
4,50.0,3600.0,77.0
5,15.3,3600.0,
6,15.0,3605.529,
7,17.3,3600.0,
