Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,66.3,3499.917,77.0
1,94.0,3500.0,69.0
2,45.5,3500.0,77.0
3,89.9,3500.035,67.0
4,89.0,3500.0,76.0
5,71.4,3500.0,
6,69.0,3500.035,
7,87.0,3500.035,
