Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,75.0,3600.0,77.0
1,84.0,1183.892,74.0
2,71.4,3600.0,74.0
3,59.6,3599.963,69.0
4,19.8,3600.0,78.0
5,24.2,704.275,
6,17.3,3600.0,
7,69.0,3600.0,
