Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3600.0,82.0
1,98.0,3600.036,74.0
2,100.0,3600.0,81.0
3,100.0,3600.072,70.0
4,18.2,3600.0,77.0
5,35.4,3600.0,
6,7.1,3591.509,
7,7.1,3600.0,
