Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,20.0,3500.0,74.0
1,94.0,3500.035,71.0
2,40.6,3500.0,74.0
3,100.0,3500.035,67.0
4,90.0,3499.964,74.0
5,22.2,3500.0,
6,72.4,3500.0,
7,45.9,3499.88,
