Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3700.0,78.0
1,100.0,3699.962,78.0
2,53.5,3700.0,75.0
3,67.7,1253.547,74.0
4,62.4,3699.962,62.0
5,31.6,3700.0,
6,85.6,3700.037,
7,29.6,2278.834,
