Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,22.8,3500.035,75.0
1,86.9,3500.315,73.0
2,34.0,3500.0,74.0
3,100.0,3500.386,69.0
4,92.9,3500.035,74.0
5,27.0,3627.737,
6,100.0,3499.964,
7,7.1,3582.938,
