Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,22.4,3300.0,72.0
1,76.2,3300.066,68.0
2,75.0,3300.0,72.0
3,64.6,3299.966,67.0
4,100.0,3300.0,70.0
5,48.0,3300.0,
6,31.0,3300.0,
7,97.0,3300.0,
