Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,70.7,4000.0,78.0
1,99.0,4000.0,74.0
2,49.0,4000.0,77.0
3,63.3,4000.04,67.0
4,36.4,4000.0,74.0
5,3.0,4000.0,
6,81.0,4010.781,
7,56.6,400.0,
