Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3500.0,75.0
1,74.7,3500.035,71.0
2,80.8,3499.964,75.0
3,99.0,3499.964,70.0
4,19.0,3500.304,73.0
5,39.4,3500.0,
6,51.5,3500.0,
7,11.0,3500.0,
