Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3600.0,76.0
1,82.0,3600.0,74.0
2,67.0,400.0,76.0
3,99.0,3600.0,69.0
4,28.0,3600.0,76.0
5,33.3,3600.0,
6,53.0,3600.0,
7,13.1,3599.963,
