Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,70.3,3299.966,71.0
1,88.0,3300.033,69.0
2,83.2,3299.966,71.0
3,85.9,3299.966,67.0
4,61.6,3300.393,70.0
5,26.0,3300.077,
6,54.5,3300.0,
7,55.1,3300.0,
