Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,48.5,3700.079,75.0
1,82.8,3700.037,70.0
2,49.0,3700.036,75.0
3,100.0,3700.0,67.0
4,71.7,3700.0,73.0
5,53.5,3700.0,
6,73.7,3700.116,
7,41.4,3699.962,
