Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,72.0,3600.0,76.0
1,100.0,3600.0,71.0
2,31.3,3613.432,76.0
3,100.0,3600.0,68.0
4,36.4,3599.963,76.0
5,8.1,3599.939,
6,74.3,3600.036,
7,45.0,3600.0,
