Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3400.0,75.0
1,100.0,3400.0,71.0
2,55.6,3400.0,75.0
3,100.0,3400.0,67.0
4,39.0,3400.0,74.0
5,10.1,3400.0,
6,50.0,3399.887,
7,7.2,3400.0,
