Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,84.8,3500.035,74.0
1,100.0,3500.035,70.0
2,100.0,3500.0,73.0
3,100.0,3500.0,68.0
4,28.0,3500.0,73.0
5,12.1,3500.0,
6,45.5,3500.0,
7,7.1,3499.876,
