Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,67.0,3600.18,77.0
1,57.0,3600.0,76.0
2,97.0,3600.0,77.0
3,71.6,3600.0,69.0
4,49.0,3599.959,77.0
5,64.6,3600.036,
6,7.0,3596.603,
7,59.6,3600.0,
