Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,18.2,3999.96,74.0
1,38.0,4000.04,67.0
2,20.2,4000.0,74.0
3,27.0,4000.0,65.0
4,30.7,3999.959,59.0
5,13.0,4000.0,
6,36.0,4000.0,
7,78.8,3999.147,
