Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,76.2,3700.0,79.0
1,76.5,3699.962,73.0
2,39.4,3700.0,78.0
3,83.0,3699.962,69.0
4,31.3,3690.796,79.0
5,32.0,3697.597,
6,65.7,3700.0,
7,55.0,3700.0,
