Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,13.0,3500.0,70.0
1,88.1,1451.032,70.0
2,43.6,3500.0,56.0
3,85.9,400.0,67.0
4,96.0,3500.0,60.0
5,25.0,508.914,
6,84.0,3499.964,
7,5.1,3318.42,
