Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,73.0,3499.964,73.0
1,95.0,400.0,71.0
2,100.0,3500.0,66.0
3,100.0,3499.964,69.0
4,37.0,3500.0,73.0
5,7.1,400.0,
6,45.0,3500.0,
7,11.2,3500.0,
