Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,100.0,3700.0,81.0
1,58.0,3700.0,76.0
2,100.0,3699.962,81.0
3,100.0,3699.962,73.0
4,29.3,3700.0,77.0
5,65.3,3700.0,
6,14.0,3715.546,
7,22.2,3713.357,
