Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,72.3,1722.506,60.0
1,10.0,2735.917,56.0
2,9.0,3399.825,56.0
3,22.0,3400.0,53.0
4,8.0,1154.109,60.0
5,6.1,2532.424,
6,14.9,400.0,
7,6.1,3399.866,
