Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,91.9,3500.0,75.0
1,98.0,3507.322,75.0
2,85.0,3500.07,74.0
3,89.0,3500.0,69.0
4,51.0,3500.0,74.0
5,21.0,3500.0,
6,16.5,3500.116,
7,54.0,3500.0,
