Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,84.8,3500.0,77.0
1,79.0,3500.0,70.0
2,100.0,3500.0,77.0
3,99.0,3500.0,67.0
4,12.9,3502.072,75.0
5,44.4,3500.035,
6,6.1,3500.0,
7,40.0,3499.801,
