Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,81.8,3600.0,81.0
1,100.0,3600.0,71.0
2,66.0,3600.0,80.0
3,100.0,3600.036,69.0
4,39.8,3599.963,76.0
5,46.5,3600.0,
6,58.0,3600.883,
7,41.0,400.0,
