Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,18.2,3500.0,76.0
1,91.0,3500.035,71.0
2,57.6,3492.152,76.0
3,100.0,3500.035,69.0
4,100.0,3500.0,74.0
5,19.0,3500.0,
6,50.0,3500.0,
7,50.0,3500.0,
