Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,47.0,3600.182,77.0
1,70.6,3600.288,75.0
2,100.0,3599.963,77.0
3,48.5,3600.072,70.0
4,75.8,3600.036,74.0
5,42.4,3600.0,
6,29.3,3600.211,
7,58.2,3599.774,
