Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,5.1,3700.0,82.0
1,100.0,3700.0,74.0
2,17.0,3699.962,82.0
3,100.0,3699.962,72.0
4,100.0,3699.962,80.0
5,42.4,3700.0,
6,86.1,3700.0,
7,10.9,3700.0,
