Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,96.0,3499.964,76.0
1,78.8,3500.035,74.0
2,68.0,3500.035,76.0
3,99.0,3500.0,67.0
4,49.5,3500.0,74.0
5,42.4,3500.0,
6,99.0,3499.964,
7,58.0,3499.964,
