Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,19.2,3500.0,76.0
1,98.0,3499.964,70.0
2,73.0,3500.0,76.0
3,100.0,3500.035,68.0
4,97.0,3500.0,74.0
5,6.1,3500.0,
6,38.6,3500.0,
7,33.7,3500.403,
