Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,87.35,3500.0175,73.0,2
1,89.9,3499.964,72.5,2
2,29.2,3500.152,73.0,2
3,31.25,3500.0,,2
