Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,36.8,3400.0,71.0,2
1,97.0,3399.9825,69.5,2
2,76.25,3400.0,65.0,2
3,23.2,3400.0,,2
