Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,95.55,3600.0,75.5,2
1,94.5,3600.018,73.5,2
2,32.65,3600.0,77.0,2
3,16.15,3602.7645,,2
