Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,87.4,3499.9995,75.0,2
1,83.5,3500.0175,71.5,2
2,45.95,3500.0,74.0,2
3,78.5,3499.964,,2
