Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,100.0,3400.0,73.0,2
1,77.8,3400.0,71.0,2
2,24.55,3400.0,74.0,2
3,28.6,3399.9435000000003,,2
