Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,98.5,3399.9825,71.5,2
1,56.5,3399.9825,69.5,2
2,23.1,3400.0,71.0,2
3,58.6,3400.0,,2
