Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,84.0,1949.982,72.0,2
1,100.0,3499.982,67.5,2
2,22.05,1950.0,73.0,2
3,28.1,3500.0,,2
