Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,86.0,3600.0,73.5,2
1,65.65,3606.716,72.0,2
2,22.25,3599.951,76.0,2
3,59.65,3600.018,,2
