Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,60.8,3499.982,72.0,2
1,91.15,3500.0,71.5,2
2,53.95,3495.2135,74.0,2
3,22.8,3499.6565,,2
