Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,58.6,3499.982,73.0,2
1,86.5,3500.0175,72.0,2
2,51.55,3500.0,74.0,2
3,36.150000000000006,3500.2015,,2
