Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,87.9,3599.9815,73.5,2
1,96.0,3599.9815,74.0,2
2,44.25,3596.5725,76.0,2
3,13.05,3599.9785,,2
