Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,100.0,3699.9809999999998,78.0,2
1,60.6,2476.7735000000002,74.5,2
2,47.0,3699.9809999999998,62.0,2
3,57.599999999999994,2989.4354999999996,,2
