Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,98.5,3400.0,71.5,2
1,81.0,3400.0335,70.0,2
2,9.0,3394.1705,76.0,2
3,43.4,3400.0164999999997,,2
