Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,58.8,3600.2349999999997,76.0,2
1,74.25,3600.0175,73.5,2
2,59.099999999999994,3600.018,74.0,2
3,43.75,3599.9925,,2
