Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,99.0,3600.018,78.0,2
1,100.0,3600.036,75.5,2
2,26.799999999999997,3600.0,77.0,2
3,7.1,3595.7545,,2
