Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,62.0,3600.09,76.5,2
1,84.3,3600.0,73.0,2
2,56.8,3599.9975,77.0,2
3,33.3,3598.3015,,2
