Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,81.9,3500.0,73.5,2
1,99.5,3500.0,72.0,2
2,28.65,3501.0535,75.0,2
3,23.05,3499.9004999999997,,2
