Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,50.55,2475.516,70.0,2
1,64.75,1950.0,61.5,2
2,60.5,2004.4569999999999,60.0,2
3,44.55,3409.192,,2
