Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,55.5,3400.1445000000003,73.0,2
1,15.149999999999999,3400.0,71.0,2
2,72.3,3400.017,71.0,2
3,94.5,3399.9995,,2
