Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,76.35,3699.9809999999998,76.0,2
1,61.2,3699.9809999999998,73.5,2
2,31.65,3694.1965,79.0,2
3,60.35,3700.0,,2
