Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,100.0,3500.0,74.0,2
1,26.05,3500.0,70.5,2
2,15.05,3500.0,74.0,2
3,95.5,3500.0,,2
