Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,79.5,2391.946,75.5,2
1,65.5,3599.9815,71.5,2
2,22.0,2152.1375,78.0,2
3,43.15,3600.0,,2
